"Story","Title","Result","Date","Stability","Duration (s)"
"Practice text Box","Full text box","SUCCESS","2021-06-28T23:13:05.069-05:00[America/Bogota]","0.0","231.21"
"Register new user","Register Successful","SUCCESS","2021-06-28T22:24:50.427-05:00[America/Bogota]","0.0","246.93"
